cueX,cueZ,aimDz,speed,a,b,trials,legal,gold
0.15000,0.30000,0.00000,14.000,0.00000,-0.00857,50,35,1
0.15000,0.30000,0.00000,14.000,0.00000,0.00000,50,28,0
0.15000,0.30000,0.00000,14.000,0.00000,0.00857,50,33,0
0.15000,0.30000,0.00000,14.000,0.00857,-0.00857,50,35,0
0.15000,0.30000,0.00000,14.000,0.00857,0.00000,50,21,0
0.15000,0.30000,0.00000,14.000,0.00857,0.00857,50,35,1
0.15000,0.30000,0.00857,8.000,-0.00857,-0.00857,50,40,0
0.15000,0.30000,0.00857,8.000,-0.00857,0.00000,50,31,0
0.15000,0.30000,0.00857,8.000,-0.00857,0.00857,50,32,0
0.15000,0.30000,0.00857,8.000,0.00000,-0.00857,50,43,0
0.15000,0.30000,0.00857,8.000,0.00000,0.00000,50,45,0
0.15000,0.30000,0.00857,8.000,0.00000,0.00857,50,48,0
0.15000,0.30000,0.00857,8.000,0.00857,-0.00857,50,40,1
0.15000,0.30000,0.00857,8.000,0.00857,0.00000,50,44,2
0.15000,0.30000,0.00857,8.000,0.00857,0.00857,50,41,0
0.15000,0.30000,0.00857,11.000,-0.00857,-0.00857,50,30,1
0.15000,0.30000,0.00857,11.000,-0.00857,0.00000,50,28,0
0.15000,0.30000,0.00857,11.000,-0.00857,0.00857,50,33,0
0.15000,0.30000,0.00857,11.000,0.00000,-0.00857,50,43,1
0.15000,0.30000,0.00857,11.000,0.00000,0.00000,50,37,0
0.15000,0.30000,0.00857,11.000,0.00000,0.00857,50,40,2
0.15000,0.30000,0.00857,11.000,0.00857,-0.00857,50,41,0
0.15000,0.30000,0.00857,11.000,0.00857,0.00000,50,40,1
0.15000,0.30000,0.00857,11.000,0.00857,0.00857,50,35,0
0.15000,0.30000,0.00857,14.000,-0.00857,-0.00857,50,35,1
0.15000,0.30000,0.00857,14.000,-0.00857,0.00000,50,24,1
0.15000,0.30000,0.00857,14.000,-0.00857,0.00857,50,28,0
0.15000,0.30000,0.00857,14.000,0.00000,-0.00857,50,37,3
0.15000,0.30000,0.00857,14.000,0.00000,0.00000,50,30,0
0.15000,0.30000,0.00857,14.000,0.00000,0.00857,50,38,1
0.15000,0.30000,0.00857,14.000,0.00857,-0.00857,50,41,0
0.15000,0.30000,0.00857,14.000,0.00857,0.00000,50,34,0
0.15000,0.30000,0.00857,14.000,0.00857,0.00857,50,32,1
0.15000,0.30000,0.01715,8.000,-0.00857,-0.00857,50,30,1
0.15000,0.30000,0.01715,8.000,-0.00857,0.00000,50,26,0
0.15000,0.30000,0.01715,8.000,-0.00857,0.00857,50,26,0
0.15000,0.30000,0.01715,8.000,0.00000,-0.00857,50,46,0
0.15000,0.30000,0.01715,8.000,0.00000,0.00000,50,45,0
0.15000,0.30000,0.01715,8.000,0.00000,0.00857,50,48,0
0.15000,0.30000,0.01715,8.000,0.00857,-0.00857,50,44,0
0.15000,0.30000,0.01715,8.000,0.00857,0.00000,50,45,0
0.15000,0.30000,0.01715,8.000,0.00857,0.00857,50,44,0
0.15000,0.30000,0.01715,11.000,-0.00857,-0.00857,50,28,0
0.15000,0.30000,0.01715,11.000,-0.00857,0.00000,50,18,0
0.15000,0.30000,0.01715,11.000,-0.00857,0.00857,50,24,0
0.15000,0.30000,0.01715,11.000,0.00000,-0.00857,50,38,0
0.15000,0.30000,0.01715,11.000,0.00000,0.00000,50,40,0
0.15000,0.30000,0.01715,11.000,0.00000,0.00857,50,45,0
0.15000,0.30000,0.01715,11.000,0.00857,-0.00857,50,40,0
0.15000,0.30000,0.01715,11.000,0.00857,0.00000,50,39,1
0.15000,0.30000,0.01715,11.000,0.00857,0.00857,50,35,0
0.15000,0.30000,0.01715,14.000,-0.00857,-0.00857,50,24,0
0.15000,0.30000,0.01715,14.000,-0.00857,0.00000,50,14,2
0.15000,0.30000,0.01715,14.000,-0.00857,0.00857,50,21,0
0.15000,0.30000,0.01715,14.000,0.00000,-0.00857,50,41,4
0.15000,0.30000,0.01715,14.000,0.00000,0.00000,50,30,2
0.15000,0.30000,0.01715,14.000,0.00000,0.00857,50,30,1
0.15000,0.30000,0.01715,14.000,0.00857,-0.00857,50,40,2
0.15000,0.30000,0.01715,14.000,0.00857,0.00000,50,34,0
0.15000,0.30000,0.01715,14.000,0.00857,0.00857,50,37,0
0.15000,0.50000,-0.01715,8.000,-0.00857,-0.00857,50,43,0
0.15000,0.50000,-0.01715,8.000,-0.00857,0.00000,50,44,0
0.15000,0.50000,-0.01715,8.000,-0.00857,0.00857,50,44,0
0.15000,0.50000,-0.01715,8.000,0.00000,-0.00857,50,45,0
0.15000,0.50000,-0.01715,8.000,0.00000,0.00000,50,42,0
0.15000,0.50000,-0.01715,8.000,0.00000,0.00857,50,43,1
0.15000,0.50000,-0.01715,8.000,0.00857,-0.00857,50,21,0
0.15000,0.50000,-0.01715,8.000,0.00857,0.00000,50,34,0
0.15000,0.50000,-0.01715,8.000,0.00857,0.00857,50,34,0
0.15000,0.50000,-0.01715,11.000,-0.00857,-0.00857,50,38,4
